first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,pfgm,pfg3m,pftm
Brandon,Ingram,NOP,2019,62.0,33:57:00,8.18,17.68,2.42,6.19,5.05,5.94,0.82,5.31,6.13,4.18,0.98,0.61,3.05,2.89,23.82,0.4626696832579185,0.3909531502423263,0.8501683501683501
Luka,Doncic,DAL,2020,66.0,34:15:00,9.8,20.47,2.91,8.3,5.21,7.14,0.82,7.17,7.98,8.59,0.97,0.55,4.26,2.3,27.73,0.47874938935026873,0.3506024096385542,0.7296918767507004
Stephen,Curry,GSW,2020,63.0,34:09:00,10.44,21.67,5.35,12.71,5.75,6.27,0.46,5.02,5.48,5.76,1.22,0.13,3.38,1.89,31.98,0.4817720350715274,0.42092840283241534,0.9170653907496014
Giannis,Antetokounmpo,MIL,2020,60.0,32:55:00,10.08,17.73,1.05,3.55,6.58,9.58,1.6,9.45,11.05,5.88,1.18,1.17,3.43,2.77,27.8,0.5685279187817259,0.295774647887324,0.6868475991649269
Nikola,Jokic,DEN,2020,72.0,34:33:00,10.17,17.96,1.28,3.29,4.75,5.47,2.85,7.99,10.83,8.32,1.32,0.67,3.08,2.67,26.36,0.5662583518930957,0.3890577507598784,0.8683729433272396
LeBron,James,LAL,2020,45.0,33:22:00,9.38,18.29,2.31,6.33,3.96,5.67,0.64,7.04,7.69,7.78,1.07,0.56,3.73,1.56,25.02,0.5128485511208312,0.36492890995260663,0.6984126984126984
Chris,Paul,PHO,2020,70.0,31:25:00,6.27,12.56,1.46,3.69,2.41,2.59,0.36,4.1,4.46,8.89,1.41,0.27,2.23,2.37,16.41,0.49920382165605093,0.3956639566395664,0.9305019305019306
Jaylen,Brown,BOS,2020,58.0,34:30:00,9.28,19.16,2.81,7.09,3.29,4.31,1.22,4.76,5.98,3.36,1.24,0.55,2.72,2.9,24.66,0.4843423799582463,0.39633286318758815,0.7633410672853829
Paul,George,LAC,2020,54.0,33:47:00,8.24,17.65,3.17,7.7,3.67,4.22,0.83,5.81,6.65,5.19,1.15,0.44,3.31,2.44,23.31,0.4668555240793202,0.41168831168831166,0.8696682464454977
Damian,Lillard,POR,2020,67.0,35:46:00,8.99,19.91,4.1,10.51,6.7,7.22,0.48,3.75,4.22,7.54,0.93,0.25,3.03,1.52,28.78,0.45153189352084383,0.39010466222645096,0.9279778393351801
